Nombre Equipo;pais;partidos jugados;partidos ganados ;goles anotados;Ciudad;difrencia de goles ;Goles encontara ;partidos perdidos;partidos empatados ;Total de goles ;
team_name;country;matches_played;wins;goals_scored;City;goal_difference;Goals_against;Last_Maches;Tied_Maches;total_goal_count;
Manchester City FC;England;38;32;95;Manchester;72;23;14;9;118;.
Leicester City FC;England;38;15;51;Leicester;3;48;32;8;99;
Crystal Palace FC;England;38;14;51;Londres;-2;53;33;9;104;
Burnley FC;England;38;11;45;Burnley;-23;68;34;0;113;
Southampton FC;England;38;9;45;Southampton;-20;65;30;7;110;
AFC Bournemouth;England;38;13;56;Bournemouth;-14;70;25;1;126;
Manchester United FC;England;38;19;65;Manchester;11;  ;26;0;119;
Liverpool FC;England;38;30;89;Liverpool;67;22;18;7;111;
Chelsea FC;England;38;21;63;Londres;24;39;18;10;102;
West Ham United FC;England;38;15;52;Londres;-3;55;28;1;107;
Watford FC;England;38;14;52;Watford;-7;59;27;5;111;
Newcastle United FC;England;38;12;42;Newcastle upon Tyne;-6;48;32;3;90;
Cardiff City FC;Wales;38;10;34;Cardiff;-35;69;28;6;103;
Fulham FC;England;38;7;34;Londres;-47;81;36;0;115;
Brighton & Hove Albion FC;England;38;9;35;Brighton;-25;60;33;5;95;
Huddersfield Town FC;England;38;3;22;Huddersfield;-54;76;43;4;98;
Wolverhampton Wanderers FC;England;38;16;47;Wolverhampton;1;46;22;8;93;
Everton FC;England;Liverpool;38;54;8;46;23;9;15;100
Tottenham Hotspur FC;England;Londres;38;23;112;21;9;0;25;105
